bin Ex Popul. 0- 0+ 1- 1+ 2- 2+ 3- 3+ 4- 4+ 5- 5+ 6- 6+ 7- 7+ 8- 8+ 9- 9+ 
68 0.23527183591795897 0.00307060811191751 0.0 0.0 0.00307060811191751 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
69 0.23873171585792896 0.0030846042528921034 0.0 0.0 0.0030846042528921034 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
70 0.24219159579789895 0.003098660030296404 0.0 0.0 0.003098660030296404 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
71 0.24565147573786894 0.0031127756737250076 0.0 0.0 0.0031127756737250076 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
72 0.24911135567783893 0.003126951413510937 0.0 0.0 0.003126951413510937 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
73 0.2525712356178089 0.0031411874807271436 0.0 0.0 0.0031411874807271436 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
74 0.2560311155577789 0.003155484107187983 0.0 0.0 0.003155484107187983 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
75 0.2594909954977489 0.00316984152545068 0.0 0.0 0.00316984152545068 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
76 0.26295087543771883 0.003184259968816816 0.0 0.0 0.003184259968816816 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
77 0.2664107553776888 0.0031987396713337923 0.0 0.0 0.0031987396713337923 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
78 0.2698706353176588 0.003213280867796298 0.0 0.0 0.003213280867796298 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
79 0.2733305152576288 0.003227883793747771 0.0 0.0 0.003227883793747771 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
80 0.2767903951975988 0.00324254868548186 0.0 0.0 0.00324254868548186 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
81 0.2802502751375688 0.0032572757800438863 0.0 0.0 0.0032572757800438863 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
82 0.2837101550775388 0.003272065315232276 0.0 0.0 0.003272065315232276 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
83 0.28717003501750876 0.0032869175296000377 0.0 0.0 0.0032869175296000377 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
84 0.29062991495747875 0.0033018326624561826 0.0 0.0 0.0033018326624561826 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
85 0.29408979489744874 0.0033168109538671852 0.0 0.0 0.0033168109538671852 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
86 0.29754967483741873 0.0033318526446584028 0.0 0.0 0.0033318526446584028 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
87 0.3010095547773887 0.0033469579764155285 0.0 0.0 0.0033469579764155285 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
88 0.30446943471735866 0.0033621271914860023 0.0 0.0 0.0033621271914860023 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
89 0.30792931465732865 0.003377360532980446 0.0 0.0 0.003377360532980446 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
90 0.31138919459729864 0.0033926582447740944 0.0 0.0 0.0033926582447740944 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
91 0.3148490745372686 0.0034080205715081883 0.0 0.0 0.0034080205715081883 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
92 0.3183089544772386 0.0034234477585914124 0.0 0.0 0.0034234477585914124 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
93 0.3217688344172086 0.0034389400522012873 0.0 0.0 0.0034389400522012873 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
94 0.3252287143571786 0.00345449769928559 0.0 0.0 0.00345449769928559 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
95 0.3286885942971486 0.0034701209475637342 0.0 0.0 0.0034701209475637342 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
96 0.3321484742371186 0.0034858100455281804 0.0 0.0 0.0034858100455281804 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
97 0.33560835417708856 0.003501565242445832 0.0 0.0 0.003501565242445832 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
98 0.33906823411705855 0.0035173867883593994 0.0 0.0 0.0035173867883593994 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
99 0.3425281140570285 0.0035332749340888066 0.0 0.0 0.0035332749340888066 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
100 0.3459879939969985 0.0035492299312325534 0.0 0.0 0.0035492299312325534 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
101 0.34944787393696847 0.0035652520321690947 0.0 0.0 0.0035652520321690947 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
102 0.35290775387693846 0.003581341490058204 0.0 0.0 0.003581341490058204 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
103 0.35636763381690845 0.0035974985588423415 0.0 0.0 0.0035974985588423415 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
104 0.35982751375687844 0.0036137234932480033 0.0 0.0 0.0036137234932480033 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
105 0.3632873936968484 0.0036300165487870776 0.0 0.0 0.0036300165487870776 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
106 0.3667472736368184 0.003646377981758202 0.0 0.0 0.003646377981758202 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
107 0.3702071535767884 0.003662808049248084 0.0 0.0 0.003662808049248084 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
